                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                0.73718,                0.43266,                 0.8914,                0.79183,                0.33683,                0.90994,                0.96596,                0.95833,                0.98985,                0.81067,                 0.7007,                0.37399,                0.88186,                0.73895,                0.28661,                0.88717,              0.0010496,              0.0010496,              0.0010496
                     51,                0.71526,                 0.4196,                0.89607,                0.76083,                0.33088,                0.90795,                0.97494,                0.97273,                0.98927,                0.81263,                 0.6988,                0.35969,                0.88896,                0.72175,                0.28518,                0.89395,              0.0010298,              0.0010298,              0.0010298
                     52,                0.68951,                0.41136,                0.88463,                0.74552,                0.33399,                0.90046,                0.97481,                 0.9675,                0.99288,                0.81187,                0.69393,                0.33864,                0.89368,                0.71643,                0.25024,                0.89071,                0.00101,                0.00101,                0.00101
                     53,                0.71723,                 0.4291,                0.89379,                0.77002,                0.37954,                0.91091,                0.96305,                0.96667,                 0.9914,                0.80141,                0.72323,                0.37323,                0.89696,                0.76279,                0.27115,                0.90425,              0.0009902,              0.0009902,              0.0009902
                     54,                0.75809,                0.44023,                0.90292,                0.83489,                 0.3615,                0.92138,                0.97968,                  0.925,                0.98918,                0.80965,                0.68194,                 0.3671,                 0.8748,                0.73246,                0.28314,                0.89077,              0.0009704,              0.0009704,              0.0009704
                     55,                0.70832,                0.41799,                0.88902,                0.79018,                0.33509,                0.91381,                0.92246,                0.99136,                0.98816,                0.80049,                0.66887,                0.34833,                0.87638,                0.70713,                 0.2773,                0.89096,              0.0009506,              0.0009506,              0.0009506
                     56,                0.71619,                0.42193,                0.88143,                0.77585,                0.35598,                0.90483,                0.99678,                   0.95,                0.99151,                0.80617,                0.71305,                0.36828,                0.90626,                0.75223,                0.27843,                0.91832,              0.0009308,              0.0009308,              0.0009308
                     57,                0.70214,                0.40887,                0.88018,                0.77177,                0.33781,                 0.8975,                 0.9827,                 0.9466,                0.99172,                0.82101,                0.66473,                0.34306,                0.87122,                0.68685,                0.26921,                0.87116,               0.000911,               0.000911,               0.000911
                     58,                0.70104,                0.40628,                0.87955,                 0.7697,                0.32269,                0.90372,                0.99151,                0.97336,                0.99346,                0.81312,                0.68509,                0.33776,                0.88013,                0.68275,                0.25713,                0.87086,              0.0008912,              0.0008912,              0.0008912
                     59,                0.69597,                 0.3974,                0.87315,                0.75383,                0.29833,                0.89717,                0.96949,                0.96667,                0.99236,                0.80777,                0.69595,                0.34597,                0.89149,                0.69985,                0.25896,                0.88969,              0.0008714,              0.0008714,              0.0008714
